,forecast,lower_95,upper_95
2026-01-01,-0.09684044315075502,-0.717594255067038,0.523913368765528
2026-02-01,-0.18039170719458253,-0.8023099491074284,0.4415265347182633
2026-03-01,0.5646612989638644,-0.05773872379501166,1.1870613217227404
2026-04-01,0.26382451138987073,-0.3880079854641747,0.9156570082439162
2026-05-01,-0.33672302286886113,-1.0642433551112862,0.39079730937356394
2026-06-01,-0.12012476853716036,-0.934888057811063,0.6946385207367423
2026-07-01,-0.02070043530484994,-0.9111426396286542,0.8697417690189542
2026-08-01,-0.2749914066412019,-1.2281868432672594,0.6782040299848555
2026-09-01,-0.022289095626413055,-1.0304517124941996,0.9858735212413736
2026-10-01,0.02293340710817613,-1.036474824739902,1.0823416389562543
2026-11-01,0.05541546105137066,-1.0533235885999215,1.1641545107026627
2026-12-01,0.3222355428696039,-0.8343017854802187,1.4787728712194266
