tanggal,actual,forecast,error,abs_error,squared_error
2025-01-01,-0.76,0.13952594248691022,-0.8995259424869102,0.8995259424869102,0.8091469212069641
2025-02-01,-0.48,0.2884589370784686,-0.7684589370784686,0.7684589370784686,0.5905291379757697
2025-03-01,1.65,0.39234203012753865,1.2576579698724613,1.2576579698724613,1.5817035691837207
2025-04-01,1.17,0.29048101462046927,0.8795189853795307,0.8795189853795307,0.7735536456430391
2025-05-01,-0.37,0.024343072212418798,-0.3943430722124188,0.3943430722124188,0.15550645860192897
2025-06-01,0.19,0.012332202153904959,0.17766779784609504,0.17766779784609504,0.0315658463914809
2025-07-01,0.3,-0.02103775535566338,0.32103775535566337,0.32103775535566337,0.10306524036380277
2025-08-01,-0.08,-0.02462324692121986,-0.05537675307878014,0.05537675307878014,0.003066584781548186
2025-09-01,0.21,0.005157782774132397,0.2048422172258676,0.2048422172258676,0.04196033395800953
2025-10-01,0.28,0.11648999057850248,0.16351000942149754,0.16351000942149754,0.026735523181018215
2025-11-01,0.17,0.33228313308020707,-0.16228313308020706,0.16228313308020706,0.026335815282328194
2025-12-01,0.64,0.4280323132101528,0.21196768678984723,0.21196768678984723,0.044930300243038776
