tanggal,actual,forecast,error,abs_error,squared_error
2025-01-01,-0.72,0.17222061593827648,-0.8922206159382764,0.8922206159382764,0.7960576275052773
2025-02-01,-0.53,0.13044385934232833,-0.6604438593423283,0.6604438593423283,0.43618609134298914
2025-03-01,1.3,0.14854712535559722,1.1514528746444028,1.1514528746444028,1.325843722526859
2025-04-01,1.09,0.15056542401072034,0.9394345759892797,0.9394345759892797,0.8825373225641577
2025-05-01,-0.22,0.1374155257752423,-0.35741552577524227,0.35741552577524227,0.12774585806519287
2025-06-01,0.36,0.1397769232947596,0.22022307670524038,0.22022307670524038,0.04849820351352219
2025-07-01,0.19,0.14256363974503536,0.047436360254964643,0.047436360254964643,0.0022502082742387893
2025-08-01,-0.07,0.13450290747585708,-0.2045029074758571,0.2045029074758571,0.041821439166078965
2025-09-01,0.17,0.14233752998066318,0.027662470019336832,0.027662470019336832,0.0007652122475707091
2025-10-01,0.35,0.125415191340002,0.22458480865999797,0.22458480865999797,0.0504383362808479
2025-11-01,0.21,0.13993742409166904,0.07006257590833095,0.07006257590833095,0.004908764542910637
2025-12-01,0.8,0.17082925923176343,0.6291707407682366,0.6291707407682366,0.39585582103885164
